sigma_in_sq,k_gain,alpha_gain_noise,s_max,amplitude_s_true,C_proc,kappa,phi1,lambda_cost,w_IT,w_TPE,json_sweep_key,optimal_g_utility,max_utility,it_final_at_opt_g,tpe_at_opt_g,eg_at_opt_g,mi_raw_at_opt_g
0.0025000000000000005,0.01,1.0,1.0,0.5,6.0,0.05,1.0,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 6.0, 0.05, 1.0, 0.1, 1.0, 0.5)",0.5836734693877551,3.0275070782783358,3.0419468798778055,0.023042868505060397,0.029183673469387758,3.0419468798778055
0.0025000000000000005,0.01,1.0,1.0,0.5,6.0,0.05,1.25,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 6.0, 0.05, 1.25, 0.01, 1.0, 0.5)",0.9061224489795919,3.0304230077724124,3.033077620056259,0.0044251607578253555,0.044203190493418226,3.033077620056259
0.0025000000000000005,0.01,1.0,1.0,0.5,6.0,0.05,1.25,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 6.0, 0.05, 1.25, 0.05, 1.0, 0.5)",1.2285714285714289,3.0261859636641173,3.0355627200409656,0.012286249814845825,0.06467262938851692,3.0355627200409656
0.0025000000000000005,0.01,1.0,1.0,0.5,6.0,0.05,1.25,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 6.0, 0.05, 1.25, 0.1, 1.0, 0.5)",0.5836734693877551,3.011264713057899,3.025288478344021,0.022945859651249876,0.025508354604964697,3.025288478344021
0.0025000000000000005,0.01,1.0,1.0,0.5,6.0,0.1,1.0,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 6.0, 0.1, 1.0, 0.01, 1.0, 0.5)",1.8734693877551023,3.0344926252424087,3.085312589427954,0.09789298959557828,0.18734693877551023,3.085312589427954
0.0025000000000000005,0.01,1.0,1.0,0.5,6.0,0.1,1.0,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 6.0, 0.1, 1.0, 0.05, 1.0, 0.5)",1.0673469387755103,3.0172147942247625,3.0249443277922685,0.004785597747256047,0.10673469387755104,3.0249443277922685
0.0025000000000000005,0.01,1.0,1.0,0.5,6.0,0.1,1.0,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 6.0, 0.1, 1.0, 0.1, 1.0, 0.5)",1.2285714285714289,3.020422977926186,3.0389091932224392,0.012401002021078548,0.12285714285714289,3.0389091932224392
0.0025000000000000005,0.01,1.0,1.0,0.5,6.0,0.1,1.25,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 6.0, 0.1, 1.25, 0.01, 1.0, 0.5)",2.0346938775510206,3.025340465536717,3.0845710388461693,0.1136009499491015,0.2430098334901779,3.0845710388461693
0.0025000000000000005,0.01,1.0,1.0,0.5,6.0,0.1,1.25,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 6.0, 0.1, 1.25, 0.05, 1.0, 0.5)",0.7448979591836735,3.0235102266312026,3.032497429642775,0.011054168825965355,0.06920237197180369,3.032497429642775
0.0025000000000000005,0.01,1.0,1.0,0.5,6.0,0.1,1.25,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 6.0, 0.1, 1.25, 0.1, 1.0, 0.5)",1.0673469387755103,3.04230640381859,3.0555994103448105,0.004888397660099335,0.10848807696171399,3.0555994103448105
