sigma_in_sq,k_gain,alpha_gain_noise,s_max,amplitude_s_true,optimal_g_mse,min_mse_at_opt_g
0.0001,0.1,1.0,5.0,1.0,0.9999999999999999,0.00010981020563046922
0.0001,0.1,1.0,5.0,1.5,0.9999999999999999,0.00011271672985893031
0.0001,0.1,1.0,5.0,2.0,0.9999999999999999,0.00011080111737627237
0.0001,0.1,1.5,0.75,0.5,0.9999999999999999,0.00011459084271627084
0.0001,0.1,1.5,0.75,1.0,0.9999999999999999,0.015202561604839918
0.0001,0.1,1.5,0.75,1.5,0.9999999999999999,0.19467524542030623
0.0001,0.1,1.5,0.75,2.0,0.9999999999999999,0.6075878206289345
0.0001,0.1,1.5,1.0,0.5,0.9999999999999999,0.00010983139651470913
0.0001,0.1,1.5,1.0,1.0,0.9999999999999999,0.00010298391952291571
0.0001,0.1,1.5,1.0,1.5,0.9999999999999999,0.07021397583637905
0.0001,0.1,1.5,1.0,2.0,0.9999999999999999,0.3460572269913446
0.0001,0.1,1.5,2.5,0.5,0.9999999999999999,0.0001107796687042125
0.0001,0.1,1.5,2.5,1.0,0.9999999999999999,0.00010925457734751968
0.0001,0.1,1.5,2.5,1.5,0.9999999999999999,0.00011171487505585642
0.0001,0.1,1.5,2.5,2.0,0.9999999999999999,0.00011006545403305155
0.0001,0.1,1.5,5.0,0.5,0.9999999999999999,0.000110202119144084
0.0001,0.1,1.5,5.0,1.0,0.9999999999999999,0.0001088383933748932
0.0001,0.1,1.5,5.0,1.5,0.9999999999999999,0.00010879239684797389
0.0001,0.1,1.5,5.0,2.0,0.9999999999999999,0.00011103241144199757
0.0001,0.1,2.0,0.75,0.5,0.9999999999999999,0.00010774172440080828
0.0001,0.1,2.0,0.75,1.0,0.9999999999999999,0.0152061988065373
0.0001,0.1,2.0,0.75,1.5,0.9999999999999999,0.1946756065378815
0.0001,0.1,2.0,0.75,2.0,0.9999999999999999,0.6075889136147528
0.0001,0.1,2.0,1.0,0.5,0.9999999999999999,0.00010774363924613709
0.0001,0.1,2.0,1.0,1.0,0.9999999999999999,0.00010553806921782314
0.0001,0.1,2.0,1.0,1.5,0.9999999999999999,0.07021885870889365
0.0001,0.1,2.0,1.0,2.0,0.9999999999999999,0.34605834593968543
0.0001,0.1,2.0,2.5,0.5,0.9999999999999999,0.00010993169242673509
0.0001,0.1,2.0,2.5,1.0,0.9999999999999999,0.00010917133105138363
0.0001,0.1,2.0,2.5,1.5,0.9999999999999999,0.0001060546634039513
0.0001,0.1,2.0,2.5,2.0,0.9999999999999999,0.00010999931822000697
0.0001,0.1,2.0,5.0,0.5,0.9999999999999999,0.0001109486342806655
0.0001,0.1,2.0,5.0,1.0,0.9999999999999999,0.000109654907670011
0.0001,0.1,2.0,5.0,1.5,0.9999999999999999,0.00011013704210703641
0.0001,0.1,2.0,5.0,2.0,0.9999999999999999,0.0001067855654716658
0.0025000000000000005,0.001,1.0,0.75,0.5,0.9999999999999999,0.0024795691644834755
0.0025000000000000005,0.001,1.0,0.75,1.0,0.9999999999999999,0.01644811703215509
0.0025000000000000005,0.001,1.0,0.75,1.5,0.9999999999999999,0.19546277267372453
0.0025000000000000005,0.001,1.0,0.75,2.0,0.9999999999999999,0.6081614000029613
0.0025000000000000005,0.001,1.0,1.0,0.5,0.9999999999999999,0.0025879572987283356
0.0025000000000000005,0.001,1.0,1.0,1.0,0.9999999999999999,0.0022631118331918657
0.0025000000000000005,0.001,1.0,1.0,1.5,0.9999999999999999,0.07137188581836261
0.0025000000000000005,0.001,1.0,1.0,2.0,0.9999999999999999,0.34687240362353466
0.0025000000000000005,0.001,1.0,2.5,0.5,0.9999999999999999,0.002522316387311816
0.0025000000000000005,0.001,1.0,2.5,1.0,0.9999999999999999,0.0024355149993099167
0.0025000000000000005,0.001,1.0,2.5,1.5,0.9999999999999999,0.0025417807741731505
0.0025000000000000005,0.001,1.0,2.5,2.0,0.9999999999999999,0.0025150742144704266
0.0025000000000000005,0.001,1.0,5.0,0.5,0.9999999999999999,0.002589592696357481
0.0025000000000000005,0.001,1.0,5.0,1.0,0.9999999999999999,0.002541434561682996
0.0025000000000000005,0.001,1.0,5.0,1.5,0.9999999999999999,0.0024703738887855505
0.0025000000000000005,0.001,1.0,5.0,2.0,0.9999999999999999,0.0024098844048671113
0.0025000000000000005,0.001,1.5,0.75,0.5,0.9999999999999999,0.002576129446360162
0.0025000000000000005,0.001,1.5,0.75,1.0,0.9999999999999999,0.0165256105237108
0.0025000000000000005,0.001,1.5,0.75,1.5,0.9999999999999999,0.19543774752689352
0.0025000000000000005,0.001,1.5,0.75,2.0,0.9999999999999999,0.608181059745216
0.0025000000000000005,0.001,1.5,1.0,0.5,0.9999999999999999,0.002585476132520883
0.0025000000000000005,0.001,1.5,1.0,1.0,0.9999999999999999,0.002256181196150877
0.0025000000000000005,0.001,1.5,1.0,1.5,0.9999999999999999,0.07133937255113623
0.0025000000000000005,0.001,1.5,1.0,2.0,0.9999999999999999,0.34682209404015063
